bin,records,mean_probability,observed_rate,projeto
1,31,0.06534541303116606,0,Diabetes
2,31,0.12637769318531442,0.03225806451612903,Diabetes
3,31,0.2474390168373206,0.2903225806451613,Diabetes
4,31,0.4707927633986814,0.5806451612903226,Diabetes
5,30,0.8035093947554135,0.8666666666666667,Diabetes
1,13,0.01288477776616614,0.07692307692307693,Doença cardíaca
2,12,0.2049801365139152,0.3333333333333333,Doença cardíaca
3,12,0.6070984287783054,0.6666666666666666,Doença cardíaca
4,12,0.8271802375799715,0.75,Doença cardíaca
5,12,0.9714460684703474,0.9166666666666666,Doença cardíaca
