fold,model,accuracy,sensitivity,specificity,precision,f1,roc_auc,threshold,tp,fp,tn,fn,projeto
1,logistic,0.6666666666666666,0.4418604651162791,0.7875,0.5277777777777778,0.4810126582278481,0.726453488372093,0.5,19,17,63,24,Diabetes
1,tree,0.7073170731707317,0.5581395348837209,0.7875,0.5853658536585366,0.5714285714285714,0.6970930232558139,0.5,24,17,63,19,Diabetes
2,logistic,0.7317073170731707,0.4883720930232558,0.8625,0.65625,0.5599999999999999,0.7947674418604651,0.5,21,11,69,22,Diabetes
2,tree,0.7235772357723578,0.4418604651162791,0.875,0.6551724137931034,0.5277777777777777,0.7585755813953489,0.5,19,10,70,24,Diabetes
3,logistic,0.7235772357723578,0.5348837209302325,0.825,0.6216216216216216,0.575,0.7944767441860465,0.5,23,14,66,20,Diabetes
3,tree,0.6910569105691057,0.6046511627906976,0.7375,0.5531914893617021,0.5777777777777778,0.748546511627907,0.5,26,21,59,17,Diabetes
4,logistic,0.8048780487804879,0.5348837209302325,0.95,0.8518518518518519,0.6571428571428571,0.8845930232558139,0.5,23,4,76,20,Diabetes
4,tree,0.7886178861788617,0.6511627906976745,0.8625,0.717948717948718,0.6829268292682927,0.8377906976744186,0.5,28,11,69,15,Diabetes
5,logistic,0.7950819672131147,0.6190476190476191,0.8875,0.7428571428571429,0.6753246753246753,0.8708333333333333,0.5,26,9,71,16,Diabetes
5,tree,0.7295081967213115,0.6666666666666666,0.7625,0.5957446808510638,0.6292134831460674,0.8014880952380953,0.5,28,19,61,14,Diabetes
1,logistic,0.8571428571428571,0.8888888888888888,0.8181818181818182,0.8571428571428571,0.8727272727272727,0.9276094276094276,0.5,24,4,18,3,Doença cardíaca
1,tree,0.8571428571428571,0.8518518518518519,0.8636363636363636,0.8846153846153846,0.8679245283018868,0.8265993265993266,0.5,23,3,19,4,Doença cardíaca
2,logistic,0.7551020408163265,0.8148148148148148,0.6818181818181818,0.7586206896551724,0.7857142857142857,0.8434343434343434,0.5,22,7,15,5,Doença cardíaca
2,tree,0.6938775510204082,0.6666666666666666,0.7272727272727273,0.75,0.7058823529411765,0.7718855218855218,0.5,18,6,16,9,Doença cardíaca
3,logistic,0.8125,0.8846153846153846,0.7272727272727273,0.7931034482758621,0.8363636363636363,0.944055944055944,0.5,23,6,16,3,Doença cardíaca
3,tree,0.8541666666666666,0.8076923076923077,0.9090909090909092,0.9130434782608696,0.8571428571428572,0.916083916083916,0.5,21,2,20,5,Doença cardíaca
4,logistic,0.875,0.8461538461538461,0.9090909090909092,0.9166666666666666,0.8799999999999999,0.9248251748251748,0.5,22,2,20,4,Doença cardíaca
4,tree,0.7916666666666666,0.8076923076923077,0.7727272727272727,0.8076923076923077,0.8076923076923077,0.8251748251748252,0.5,21,5,17,5,Doença cardíaca
5,logistic,0.8125,0.9230769230769232,0.6818181818181818,0.7741935483870968,0.8421052631578947,0.8881118881118881,0.5,24,7,15,2,Doença cardíaca
5,tree,0.7916666666666666,0.8846153846153846,0.6818181818181818,0.7666666666666667,0.8214285714285715,0.8076923076923077,0.5,23,7,15,3,Doença cardíaca
