fold,model,accuracy,sensitivity,specificity,precision,f1,roc_auc,threshold,tp,fp,tn,fn
1,logistic,0.8571428571428571,0.8888888888888888,0.8181818181818182,0.8571428571428571,0.8727272727272727,0.9276094276094277,0.5,24,4,18,3
1,tree,0.8571428571428571,0.8518518518518519,0.8636363636363636,0.8846153846153846,0.8679245283018868,0.8265993265993266,0.5,23,3,19,4
2,logistic,0.7551020408163265,0.8148148148148148,0.6818181818181818,0.7586206896551724,0.7857142857142857,0.8434343434343434,0.5,22,7,15,5
2,tree,0.6938775510204082,0.6666666666666666,0.7272727272727273,0.75,0.7058823529411765,0.7718855218855218,0.5,18,6,16,9
3,logistic,0.8125,0.8846153846153846,0.7272727272727273,0.7931034482758621,0.8363636363636363,0.9440559440559441,0.5,23,6,16,3
3,tree,0.8541666666666666,0.8076923076923077,0.9090909090909091,0.9130434782608695,0.8571428571428572,0.916083916083916,0.5,21,2,20,5
4,logistic,0.875,0.8461538461538461,0.9090909090909091,0.9166666666666666,0.8799999999999999,0.9248251748251748,0.5,22,2,20,4
4,tree,0.7916666666666666,0.8076923076923077,0.7727272727272727,0.8076923076923077,0.8076923076923077,0.8251748251748252,0.5,21,5,17,5
5,logistic,0.8125,0.9230769230769231,0.6818181818181818,0.7741935483870968,0.8421052631578947,0.8881118881118881,0.5,24,7,15,2
5,tree,0.7916666666666666,0.8846153846153846,0.6818181818181818,0.7666666666666667,0.8214285714285715,0.8076923076923077,0.5,23,7,15,3
