fold,model,accuracy,sensitivity,specificity,precision,f1,roc_auc,threshold,tp,fp,tn,fn
1,logistic,0.6666666666666666,0.4418604651162791,0.7875,0.5277777777777778,0.4810126582278481,0.726453488372093,0.5,19,17,63,24
1,tree,0.7073170731707317,0.5581395348837209,0.7875,0.5853658536585366,0.5714285714285714,0.6970930232558139,0.5,24,17,63,19
2,logistic,0.7317073170731707,0.4883720930232558,0.8625,0.65625,0.5599999999999999,0.7947674418604651,0.5,21,11,69,22
2,tree,0.7235772357723578,0.4418604651162791,0.875,0.6551724137931034,0.5277777777777777,0.7585755813953489,0.5,19,10,70,24
3,logistic,0.7235772357723578,0.5348837209302325,0.825,0.6216216216216216,0.575,0.7944767441860465,0.5,23,14,66,20
3,tree,0.6910569105691057,0.6046511627906976,0.7375,0.5531914893617021,0.5777777777777778,0.748546511627907,0.5,26,21,59,17
4,logistic,0.8048780487804879,0.5348837209302325,0.95,0.8518518518518519,0.6571428571428571,0.8845930232558139,0.5,23,4,76,20
4,tree,0.7886178861788617,0.6511627906976745,0.8625,0.717948717948718,0.6829268292682927,0.8377906976744186,0.5,28,11,69,15
5,logistic,0.7950819672131147,0.6190476190476191,0.8875,0.7428571428571429,0.6753246753246753,0.8708333333333333,0.5,26,9,71,16
5,tree,0.7295081967213115,0.6666666666666666,0.7625,0.5957446808510638,0.6292134831460674,0.8014880952380953,0.5,28,19,61,14
