variable,coefficient,importance,direction
sex,-1.084750200544457,1.084750200544457,Lower probability
cp,1.0072631686451021,1.0072631686451021,Higher probability
ca,-0.9126266493209175,0.9126266493209175,Lower probability
thalach,0.719049038333312,0.719049038333312,Higher probability
oldpeak,-0.5500120494671968,0.5500120494671968,Lower probability
chol,-0.5315698531685351,0.5315698531685351,Lower probability
thal,-0.527403835853577,0.527403835853577,Lower probability
trestbps,-0.5236765551460881,0.5236765551460881,Lower probability
exang,-0.3366584181405007,0.3366584181405007,Lower probability
slope,0.31182507828516653,0.31182507828516653,Higher probability
fbs,-0.04604334073274426,0.04604334073274426,Lower probability
age,-0.04230755762171389,0.04230755762171389,Lower probability
restecg,0.041486777127843176,0.041486777127843176,Higher probability
